day_of_week,hour,nip_day_h
0,14,48
0,15,435
0,16,2307777
0,17,1263348
0,18,738140
0,19,496354
0,20,409752
0,21,509572
0,22,1223530
0,23,2359612
1,0,3604365
1,1,3308150
1,2,3095633
1,3,3220271
1,4,3645493
1,5,3227349
1,6,2917284
1,7,2924033
1,8,2801293
1,9,2961319
1,10,3300746
1,11,3134200
1,12,3000091
1,13,3235239
1,14,3161797
1,15,2864021
1,16,2314780
1,17,1263077
1,18,726684
1,19,493056
1,20,409255
1,21,518866
1,22,1172535
1,23,2333773
2,0,3493769
2,1,3065649
2,2,3585843
2,3,3172056
2,4,3545132
2,5,3160269
2,6,2983655
2,7,3155262
2,8,2976057
2,9,3068314
2,10,3377086
2,11,3430977
2,12,3485357
2,13,3616634
2,14,3676695
2,15,3336168
2,16,2455567
2,17,1387383
2,18,794088
2,19,554053
2,20,447324
2,21,550518
2,22,1260525
2,23,2366694
3,0,3318301
3,1,3082862
3,2,3068887
3,3,3351149
3,4,4032691
3,5,3671741
3,6,3570940
3,7,3186240
3,8,2804701
3,9,2986204
3,10,3304199
3,11,3347741
3,12,3363917
3,13,3457523
3,14,3443283
3,15,3026111
3,16,447
